FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"BK Big Fish, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (189g),46.36,43.47,2.7,515.97,,20.79,,9.2,9.87,6.26,27.23,True,True,True,False
"Baby corn, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (145g),8.7,0.0,3.92,42.05,,3.34,1.6,0.09,0.15,0.04,0.29,True,True,True,False
Bacon and cheese tako ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (90g),18.81,25.2,1.35,134.1,,7.29,1.26,1.18,0.63,1.35,3.33,True,True,True,False
"Bacon, cooked, baked",MEAT AND MEAT PRODUCTS,Pork,Slice (8.1g),0.11,8.67,0.0,44.39,,2.89,0.0,1.54,0.39,1.15,3.5,True,True,True,False
"Bacon, cooked, pan-fried",MEAT AND MEAT PRODUCTS,Pork,Slice (7.9g),0.12,8.93,0.0,42.11,,3.03,0.0,1.42,0.35,1.05,3.18,True,True,True,False
"Bacon, raw",MEAT AND MEAT PRODUCTS,Pork,Slice (21g),0.14,14.28,0.0,96.18,,2.44,0.0,4.21,1.01,3.15,9.46,True,True,True,False
"Bagel, plain",CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (120g),64.08,0.0,2.76,330.0,,12.6,0.0,1.36,0.84,0.26,1.92,True,True,True,False
"Bak kua, beef","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (54g),22.09,38.34,0.0,178.74,,15.44,22.09,1.4,0.22,1.4,3.19,True,True,True,False
"Bak kua, chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (45g),18.5,14.4,0.95,175.05,,10.89,16.11,0.0,0.41,2.47,6.35,True,True,True,False
"Bak kua, pork with lean and fat","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),32.03,44.25,0.0,300.75,,20.03,32.03,4.5,1.2,4.13,10.28,True,True,True,False
"Bak kua, pork, lean","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (94g),47.28,8.46,1.69,370.36,,36.1,43.24,0.0,0.4,1.75,4.04,True,True,True,False
"Bak kua, vegetarian","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (74g),30.27,,3.85,247.16,,13.1,13.32,2.9,2.15,2.81,8.21,True,True,True,False
Bak kut teh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (458g),0.0,164.88,0.0,348.08,,30.23,0.0,9.16,3.66,10.08,25.19,True,True,True,False
"Bak kut teh, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (417g),9.59,33.36,0.0,50.04,,2.09,5.84,0.13,0.17,0.08,0.42,True,True,True,False
Baked Chicken Rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (444g),77.26,,2.66,794.76,,42.62,4.88,11.5,4.31,18.51,34.9,True,True,True,False
